DATE,HEURE,STATUT
2021-05-30,06:15:00,FERMETURE
2021-05-30,11:09:00,OUVERTURE
2021-05-30,18:51:00,FERMETURE
2021-05-30,23:24:00,OUVERTURE
2021-05-31,07:09:00,FERMETURE
2021-05-31,11:56:00,OUVERTURE
2021-05-31,19:52:00,FERMETURE
